"","last_first","player_id","year","ppa","hitcountrate","pa","bb_percent","b_total_pitches","xslg","squared_up_swing","exit_velocity_avg","oz_swing_percent","whiff_percent","flyballs_percent"
"74","Trenton Brooks",670092,2024,3.793103448,0.3,29,13.8,110,0.27,35,87.2,76.7,72.3,42.1
"75","Seth Brown",664913,2024,3.88,0.1901234568,400,6.3,1552,0.387,22.5,90,69.7,70.9,28.4
"76","Vidal Bruján",660644,2024,3.794964029,0.2054794521,278,9,1055,0.282,24.6,85.1,71.7,75.6,19
"77","Kris Bryant",592178,2024,3.922580645,0.2283950617,155,8.4,608,0.315,18.3,85.1,68.8,63.1,25.6
"78","Jake Burger",669394,2024,3.594127807,0.1411960133,579,5.4,2081,0.476,23.9,91.3,63.5,69.9,28.3
"79","Alec Burleson",676475,2024,3.557983193,0.1459369818,595,5.9,2117,0.435,31,89.7,65.5,80.8,25.5
"80","Michael Busch",683737,2024,4.171075838,0.2808798646,567,11.1,2365,0.418,25.2,89.9,76.8,71.6,32
"81","Lawrence Butler",671732,2024,4.024390244,0.2456896552,451,7.8,1815,0.471,23.9,91.1,72.7,73.1,26.3
"82","Byron Buxton",621439,2024,3.757731959,0.1633663366,388,5.2,1458,0.502,22,91.7,67.4,67.9,31.4
"83","José Caballero",676609,2024,3.921325052,0.1875,483,5.6,1894,0.315,20.6,83.7,65,71.1,21.7
"84","Trey Cabbage",663550,2024,3.692307692,0.2365591398,91,4.4,336,0.353,20.9,92.8,63.9,59.3,17.3
"85","Oswaldo Cabrera",665828,2024,3.886503067,0.2361516035,326,6.4,1267,0.334,27.7,88.2,70.4,81.2,23.2
"86","Willie Calhoun",641432,2024,3.771653543,0.2301886792,254,9.1,958,0.354,35.4,89,77.1,86.8,22.1
"87","Alex Call",669743,2024,4.362831858,0.2682926829,113,10.6,493,0.366,28.4,88,80.5,81.2,26.3
"88","Daz Cameron",663662,2024,3.844086022,0.1851851852,186,7,715,0.353,25.1,91.6,74,71.7,28.1
"89","Junior Caminero",691406,2024,3.553672316,0.1923076923,177,6.2,629,0.405,24.2,89.7,64.6,68.3,21.3
"90","Gustavo Campero",672569,2024,3.6875,0.1509433962,48,0,177,0.297,22.6,83.8,63.5,77.7,15.8
"91","Luis Campusano",669134,2024,3.428093645,0.173374613,299,6.7,1025,0.35,30,87.7,68.2,79.5,24.9
"92","Alexander Canario",672744,2024,3.607142857,0.2142857143,28,7.1,101,0.373,17.5,88,76.7,55.3,14.3
"93","Jeimer Candelario",600869,2024,3.846652268,0.1951710262,463,5.8,1781,0.364,24.7,86.9,65.4,70.9,30.7
"94","Mark Canha",592192,2024,4.212121212,0.2526315789,462,11,1946,0.306,29.1,88.4,76.4,78.2,21.9
